caseid,wsiter,amt1,cpt1,dept1,jelt1,subt1,a01,a08,am01,am02,am03,am04,am05,am06,am07,am08,am09,con12,con13,con14,con15,con17,con01,con03,con05,con09,cp10,cp11,cp12,cp13,cp15,cp02,cp07,cp08,dom01,dom02,dom03,dom04,dom05,dom06,dom07,dom08,dom09
834,632,24,20,17,22.3172740389182,15,1,1,3,3,2,2,2,2,3,2,2,3,3,2,3,3,3,2,3,2,2,3,2,2,3,2,3,2,2,3,3,3,3,3,2,3,2
835,632,28,11,8,18,11,0,1,3,2,1,3,1,3,2,4,2,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,2,1,1,4,4,2,1,2,2,2,1
836,632,18,20,20,11,17,0,1,3,2,2,2,3,1,1,1,2,2,1.8369331463165,2,1,2,2,1,3,2,2,3,2,2,3,2,2,3,2,2,1,1,2,1.80723506204706,1,2,2
837,632,24,17,13,22,13,0,1,2,3,3,3,2,3,3,3,3,2,2,1,3,2,3,1,1,1,3,2,3,2,3,1,2,2,1,3,4,2,2,3,3,2,2
838,632,26,15,14,15,19,1,2,3,2,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2
839,632,24,15,16,18,20,1,3,3,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,4,3,3,2,2,2,2,2
840,632,15.6879876523994,20,25,17,23,1,2,1,1,4,1,1,1,1.68681488951716,1,1,1,1,4,1,1,1,1,1,1,4,4,1,1,1,4,1,1,2.64663531029516,4,1,4,4,4,4,1,1
841,632,32,11,8,11,16,1,1,4,4,1,2,1,2,4,4,1,1,4,3,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,4,4,4,1,4,1,1,1
842,632,27,14,10,22,14,1,1,3,3,2,3,1,3,2,3,2,1,3,2,4,3,3,1,3,3,2,3,4,1,2,1,2,2,1,3,4,2,1,2,2,3,1
843,632,24.8147269002811,16.2696323473345,19,20.7578947777799,14,1,3,2.77608377303661,2.56192985477147,2.46628995739368,3.01303132034105,1.96374299592826,2.96653406257036,2.47655327015792,2.87543670425886,2.42481625990247,1.94114793595752,2.08981145093589,2.20230715830718,2.30322732711367,2.18583088267065,2.12774582144928,2.1204540704255,2.06914308815845,2.12543568524742,1.61263332472674,2.12672890934441,3.1905999049161,1.74941633645237,2.5725138371513,2.12576946028301,2.36874600974168,1.90442436753421,1.73737748800897,3.12784753659333,3.38819860346943,2.47431146278,1.676284821001,2.45814427497385,2.25443299260618,2.05307019722056,1.55794606981934
844,632,26,12,19,16,15,1,1,3,3,2,3,2,3,3,3,3,2,3,2,1,2,1,2,2,2,1,1,4,1,2,2,2,2,1,3,3,2,1,2,1,1,1
845,632,30,12,10,19,14,0,1,3,3,1,3,1,3,3,3,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,3,1,1,4,4,2,1,2,2,2,1
846,632,25,14,15,19,17,0,1,3,2,3,3,1,3,2,3,2,2,2,1,3,2,2,3,3,3,1,2,3,2,2,2,2,1,1,3,4,3,2,2,3,2,2
847,632,24,16,12,21,18,0,2,3,2,1,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2,2,4,3,3,2,2,2,2,2
848,632,31,18,17,20,15,0,1,3,4,2,4,2,4,3,4,2,1,1,2,3,2,1,1,1,1,2,2,4,2,3,3,3,2,1,3,3,2,1,2,2,2,1
849,632,27,18,16,16,18,0,2,3,3,1,3,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2,3,2,2,2
850,632,25,21,18,26,18,0,1,3,3,3,3,2,3,3,3,3,2,4,4,3,3,2,3,2,4,3,3,3,2,3,3,2,3,1,3,3,3,2,2,2,3,2
851,632,26,15,17,30,17,0,1,3,3,2,4,2,3,2,3,3,2,3,1,3,2,2,3,2,3,1,2,3,1,2,3,2,2,3,3,3,4,2,2,4,4,1
852,632,25,19,18,19,21,1,2,3,3,3,3,1,3,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,2,3,3,3,2,1,4,4,3,2,3,3,3,2
853,632,26,18,13,16,16,1,2,3,3,2,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,2,1,3,3,2,2,2,2,2,1
854,632,28,17,10,18,15,1,1,4,2,1,3,2,3,2,3,1,2,1,2,2,1,3,1,1,1,2,2,3,2,3,3,2,1,1,4,4,2,2,2,2,2,2
855,632,19,16,14,22,16,0,1,2,1,4,3,2,3,2,2,3,2,1,2,2,3,2,2,2,2,1,3,3,2,2,2,2,2,2,4,3,2,2,2,2,3,2
856,632,21,15,13,23,17,0,2,2,2,4,3,2,3,2,3,3,2,2,2,2,1,2,2,2,1,1,2,4,1,4,2,2,2,1,3,3,3,2,3,2,3,1
857,632,19.5636444672839,18.9834567526207,20,23.0688399380508,16,0,3,2.35559098740548,2.09938277986464,2.88588519090273,2.889060173206,3,2.72059087117262,1,2.43023684083731,3.04536511980177,2.24647093157139,2.33423083909229,2.5455632523891,2.77656956681448,2.61962052730973,2.43256063120809,2.59617974976309,2.47599027404783,2.51357774622683,1.87338438066436,2.53799931733653,2.89260912920998,2.14727479294106,2.56806661304309,2.66004911014312,2.93863526421434,2.15065640305204,1.98984573957435,2.86685051816518,3.18529284751506,2.68068300888815,2.09639289855976,2.67881184976174,2.42480760949951,2.50546059137317,2
858,632,26,19,16,19,18,0,1,3,3,2,3,2,3,3,3,3,2,2,1,2,2,1,2,2,2,2,2,3,2,3,3,3,2,1,4,1,3,2,2,3,2,2
859,632,24,20,20,19,19,1,2,3,2,2,3,1,3,1,3,3,2,2,1,3,2,2,3,2,3,3,3,4,2,3,3,3,2,2,4,3,2,1,3,2,2,1
860,632,25,20,17,21,14,1,1,3,3,2,2,2,3,2,3,2,3,3,3,2,3,3,2,2,2,3,3,3,2,3,2,3,2,2,3,4,3,3,3,3,3,2
861,632,24,20,26,29,18,0,2,3,2,3,3,2,3,2,3,2,2,2,3,3,2,2,2,2,2,2,2,3,4,2,3,3,2,1,4,3,2,2,2,2,2,2
862,632,25,13,14,19,15,0,2,4,3,2,3,2,3,1,2,2,1,1,2,1,1,1,2,2,1.7482741624684,1,2,3,1,1,1,3,2,2,4,3,2,2,1,2,2,2
863,632,23,13,10,17,16,0,2,3,2,1,2,1,2,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,4,1,1,2,1,1,1
864,632,25,15,12,17,15,0,2,3,2,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,2,3,2,2,3,3,3,2,3,2,2,2
865,632,25,19,8,28,17,0,2,1,4,1,3,4,3,4,3,3,2,2,2,3,3,4,4,3,4,1,3,3,2,3,3,3,2,3,3,4,3,2,2,2,3,2
866,632,27,15,16,20,19,1,1,3,3,2,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,3,4,2,1,2,2,2,2
867,632,21,16,11,24,18,0,2,3,1,1,3,4,1,3,4,4,3,1,3,3,3,2,2,2,1,1,2,3,3,1,2,4,1,2,1,4,4,2,4,2,2,3
868,632,23,21,15,19,19,1,2,3,2,2,2,2,3,2,3,3,1,3,3,3,2,3,2,2,3,2,3,3,2,3,4,3,2,2,4,1,3,2,2,1,2,2
869,632,25,18,17,20,26,1,2,3,3,3,3,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,2,2,2,2,2,2
870,632,33,9,11,14,16,1,1,4,4,1,3,1,4,3,3,1,1,1,1,2,1,1,2,1,1,1,1,4,1,1,1,2,1,1,3,4,2,2,2,1,2,1
871,632,27,16,18,20,22,1,1,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,1,3,4,2,2,2,2,2,2
872,632,25,17,14,16,14,0,1,3,3,3,3,2,3,2,3,2,2,2,1,2,3,2,2,2,1,2,2,3,2,2,3,2,2,2,3,4,3,2,3,3,2,2
873,632,24,14,13,13,17,0,2,2,3,2,3,1,2,2,2,2,2,2,3,1,1,3,2,1,1,1,1,1,1,2,2,2,1,2,4,3,2,2,2,2,1,1
874,632,23,16,13,25,15,1,1,3,2,3,3,2,3,2,3,3,2,2,2,2,3,2,2,3,3,2,3,3,2,2,1,3,1,1,4,4,3,2,4,2,3,2
875,632,23,15,20,21,13.2179920885102,1,2,2,2,3,4,2,3,3,3,4,1,2,2,2,2,2,2,4,2,1,2,3,1,2,2,3,2,2,2,3,2,2,2,2,2,1
876,632,24,18,15,25,18,1,1,2,3,3,3,2,3,2,3,2,2,3,2,3,3,4,3,3,3,3,2,3,2,3,2,2,2,2,4,4,3,2,2,3,3,2
877,632,26,13,15,19,18,0,1,3,2,1,3,2,3,2,3,2,1,2,2,1,2,3,1,1,1,3,1,3,1,2,1,1,2,1,4,4,3,1,2,3,2,1
878,632,24,18,14,21,18,1,2,2,2,2,3,2,3,2,3,2,3,3,3,3,3,2,2,2,1,2,2,3,3,2,3,2,2,2,3,3,2,2,1,2,2,2
879,632,25,19,15,18,17,1,2,3,3,4,3,2,3,3,3,2,1,2,2,2,3,2,2,2,1,4,3,3,2,3,1,3,1,2,3,3,2,2,2,2,1,2
880,632,26,18,12,14,18,0,2,3,3,2,3,2,3,2,4,3,3,2,1,3,1,2,1,1,2,2,2,3,1,3,3,3,2,1,3,4,2,2,3,2,2,1
